Year,Unemployed_workers,Unemployment_rate
1890,904000.0,4.0
1891,1265.0,5.4
1892,728000.0,3.0
1893,2860.0,11.7
1894,4612.0,18.4
1895,3510.0,13.7
1896,3782.0,14.4
1897,3890.0,14.5
1898,3351.0,12.4
1899,1819.0,6.5
1900,1420.0,5.0
1901,1205.0,4.0
1902,1097.0,3.7
1903,1204.0,3.9
1904,1691.0,5.4
1905,1381.0,4.3
1906,574000.0,1.7
1907,945000.0,2.8
1908,2780.0,8.0
1909,1824.0,5.1
1910,2150.0,5.9
1911,2518.0,6.7
1912,1759.0,4.6
1913,1671.0,4.3
1914,3120.0,7.9
1915,3377.0,8.5
1916,2043.0000000000002,5.1
1917,1848.0,4.6
1918,536000.0,1.4
1919,546000.0,1.4
1920,2131.0,5.2
1921,4918.0,11.7
1922,2859.0,6.7
1923,1049.0,2.4
1924,2190.0,5.0
1925,1453.0,3.2
1926,801000.0,1.8
1927,1519.0,3.3
1928,1982.0,4.2
1929,1550.0,3.2
1930,4340.0,8.7
1931,8020.0,15.9
1932,12060.0,23.6
1933,12830.0,24.9
1934,11340.0,21.7
1935,10610.0,20.1
1936,9030.0,16.9
1937,7700.0,14.3
1938,10390.0,19.0
1939,9480.0,17.2
1940,8119.999999999999,14.6
1941,5560.0,9.9
1942,2660.0,4.7
1943,1070.0,1.9
1944,670000.0,1.2
1945,1040.0,1.9
1946,2270.0,3.9
1947,2311.0,3.9
1948,2276.0,3.8
1949,3637.0,5.9
1950,3288.0,5.3
1951,2055.0,3.3
1952,1883.0,3.0
1953,1834.0,2.9
1954,3532.0,5.5
1955,2852.0,4.4
1956,2750.0,4.1
1957,2859.0,4.3
1958,4602.0,6.8
1959,3740.0,5.5
1960,3852.0,5.5
1961,4714.0,6.7
1962,3911.0,5.5
1963,4070.0000000000005,5.7
1964,3786.0,5.2
1965,3366.0,4.6
1966,2875.0,3.8
1967,2975.0,3.8
1968,2817.0,3.6
1969,2831.0,3.5
1970,4088.0,4.9
1971,4993.0,5.9
1972,4882.0,5.6
1973,4365.0,4.9
1974,5156.0,5.6
1975,7929.0,8.3
1976,7406.0,7.6
1977,6991.0,6.9
1978,6202.0,6.0
1979,6137.0,5.8
1980,7637.0,7.0
1981,8273.0,7.3
1982,10678.0,9.5
1983,10717.0,9.5
1984,8539.0,7.5
1985,8312.0,7.2
1986,8237.0,7.0
1987,7425.0,6.2
1988,6701.0,5.5
