;;;;
;;;;
;United States: historical total unemployment and unemployment rate 1890-1988;;;
;Annual number of unemployed workers and the rate of unemployment in the United states from 1890 to 1988;;;
;;Unemployed workers (in 1,000s);Unemployment rate;
;1890;904;4;
;1891;1.265;5,40;
;1892;728;3;
;1893;2.860;11,70;
;1894;4.612;18,40;
;1895;3.510;13,70;
;1896;3.782;14,40;
;1897;3.890;14,50;
;1898;3.351;12,40;
;1899;1.819;6,50;
;1900;1.420;5;
;1901;1.205;4;
;1902;1.097;3,70;
;1903;1.204;3,90;
;1904;1.691;5,40;
;1905;1.381;4,30;
;1906;574;1,70;
;1907;945;2,80;
;1908;2.780;8;
;1909;1.824;5,10;
;1910;2.150;5,90;
;1911;2.518;6,70;
;1912;1.759;4,60;
;1913;1.671;4,30;
;1914;3.120;7,90;
;1915;3.377;8,50;
;1916;2.043;5,10;
;1917;1.848;4,60;
;1918;536;1,40;
;1919;546;1,40;
;1920;2.131;5,20;
;1921;4.918;11,70;
;1922;2.859;6,70;
;1923;1.049;2,40;
;1924;2.190;5;
;1925;1.453;3,20;
;1926;801;1,80;
;1927;1.519;3,30;
;1928;1.982;4,20;
;1929;1.550;3,20;
;1930;4.340;8,70;
;1931;8.020;15,90;
;1932;12.060;23,60;
;1933;12.830;24,90;
;1934;11.340;21,70;
;1935;10.610;20,10;
;1936;9.030;16,90;
;1937;7.700;14,30;
;1938;10.390;19;
;1939;9.480;17,20;
;1940;8.120;14,60;
;1941;5.560;9,90;
;1942;2.660;4,70;
;1943;1.070;1,90;
;1944;670;1,20;
;1945;1.040;1,90;
;1946;2.270;3,90;
;1947;2.311;3,90;
;1948;2.276;3,80;
;1949;3.637;5,90;
;1950;3.288;5,30;
;1951;2.055;3,30;
;1952;1.883;3;
;1953;1.834;2,90;
;1954;3.532;5,50;
;1955;2.852;4,40;
;1956;2.750;4,10;
;1957;2.859;4,30;
;1958;4.602;6,80;
;1959;3.740;5,50;
;1960;3.852;5,50;
;1961;4.714;6,70;
;1962;3.911;5,50;
;1963;4.070;5,70;
;1964;3.786;5,20;
;1965;3.366;4,60;
;1966;2.875;3,80;
;1967;2.975;3,80;
;1968;2.817;3,60;
;1969;2.831;3,50;
;1970;4.088;4,90;
;1971;4.993;5,90;
;1972;4.882;5,60;
;1973;4.365;4,90;
;1974;5.156;5,60;
;1975;7.929;8,30;
;1976;7.406;7,60;
;1977;6.991;6,90;
;1978;6.202;6;
;1979;6.137;5,80;
;1980;7.637;7;
;1981;8.273;7,30;
;1982;10.678;9,50;
;1983;10.717;9,50;
;1984;8.539;7,50;
;1985;8.312;7,20;
;1986;8.237;7;
;1987;7.425;6,20;
;1988;6.701;5,50;
